Problem,Difficulty,Tags,Worst Complexity,Link
"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.

You may assume that each input would have exactly one solution, and you may not use the same element twice.

You can return the answer in any order.",Easy,Brute force;Hashmap,N^2,https://leetcode.com/problems/two-sum/
"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list.

You may assume the two numbers do not contain any leading zero, except the number 0 itself.",Medium,Linked List;Implementation,N,https://leetcode.com/problems/add-two-numbers/
"Given a string s, find the length of the longest 
substring
 without repeating characters.",Medium,Sliding Window;Hashmap,N,https://leetcode.com/problems/longest-substring-without-repeating-characters/
"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays.",Hard,Binary Search;Divide and conquer,log(N),https://leetcode.com/problems/median-of-two-sorted-arrays/
"Given a string s, return the longest 
palindromic
substring in s.",Medium,Dynamic Programming,N^2,https://leetcode.com/problems/longest-palindromic-substring/
"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0.

Assume the environment does not allow you to store 64-bit integers (signed or unsigned).",Medium,Math,N,https://leetcode.com/problems/reverse-integer/description/
"Write a function to find the longest common prefix string amongst an array of strings.

If there is no common prefix, return an empty string",Easy,Trie;Sorting,N^2,https://leetcode.com/problems/longest-common-prefix
"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0.

Notice that the solution set must not contain duplicate triplets.",Medium,Sliding Window;Hashmap,N^2,https://leetcode.com/problems/3sum/
"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order.

A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.",Medium,Backtracking,4^N,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/
"Given the head of a linked list, remove the nth node from the end of the list and return its head",Medium,Linked List;Implementation,N,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

An input string is valid if:

Open brackets must be closed by the same type of brackets.
Open brackets must be closed in the correct order.
Every close bracket has a corresponding open bracket of the same type.",Easy,Stack,N,https://leetcode.com/problems/valid-parentheses/
"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses",Medium,Backtracking,4^N,https://leetcode.com/problems/generate-parentheses/
"You are given the heads of two sorted linked lists list1 and list2.

Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists.

Return the head of the merged linked list.",Easy,Linked List;Implementation,N,https://leetcode.com/problems/merge-two-sorted-lists/
"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.

Merge all the linked-lists into one sorted linked-list and return it.",Hard,Priority Queue;Merge sort,NlogN,https://leetcode.com/problems/merge-k-sorted-lists/
"Given two strings needle and haystack, return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack.",Easy,Sliding Window,N^2,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/
"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums.",Medium,Binary Search,log(N),https://leetcode.com/problems/search-in-rotated-sorted-array/
"Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value.

If target is not found in the array, return [-1, -1].",Medium,Binary Search,log(N),https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
"Given an unsorted integer array nums, return the smallest missing positive integer.",Hard,Implementation,N,https://leetcode.com/problems/first-missing-positive/
"Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order.",Medium,Backtracking,N!,https://leetcode.com/problems/permutations/
"Return k.You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise).

You have to rotate the image in-place, which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation.",Medium,Implementation,N^2,https://leetcode.com/problems/rotate-image/
"Given an integer array nums, find the 
subarray
 with the largest sum, and return its sum.",Medium,Dynamic Programming,N,https://leetcode.com/problems/maximum-subarray/
"You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position.

Return true if you can reach the last index, or false otherwise.",Medium,Dynamic Programming,N,https://leetcode.com/problems/jump-game/
